date,election_type,registration,total_turnout,night_of_count,eday_turnout,vbm_turnout,registration_source,total_turnout_source,night_of_count_source,eday_turnout_source,vbm_turnout_source
1935-11-05,Municipal,290683,185568,185568,,,1934-11-06 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1935-11-06 p1 'Election Returns' — Mayor complete 'Total vote 185,568', all 1065 precincts (semi-official)","SF Chronicle (NewsBank image scan via SFPL), 1935-11-06 p1 'Election Returns' box — complete semi-official, all 1065/1065 precincts election night",,
1936-11-03,General,314990,269387,242619,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 269,387 consistent (>= SOV SF President 265,001: Roosevelt 196,197+Landon 65,436+Browder 1,366). CA SoS Statement of Vote 1936, https://archive.org/details/statementofvote192639cali/page/n","SF Chronicle (NewsBank image scan via SFPL), 1936-11-04 PRESIDENT SF sum=242619, 1055/1055 precincts, COMPLETE",,
1937-03-09,Special,314990,150584,150584,,,1936-11-03 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1937-03-10 p1 — printed complete total vote 150,584 (all 1055 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1937-03-10 p1 'Election Returns' — COMPLETE, all 1055/1055 precincts",,
1937-11-02,Municipal,314990,171570,171570,,,1936-11-03 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1937-11-03 p1 — Prop 1 171,570 (largest contest, all 1055 precincts) used as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1937-11-03 p1 'Final Returns' — COMPLETE semi-official, all 1055/1055 precincts election night",,
1938-09-27,Special,340739,149266,149266,,,1938-11-08 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1938-09-28 p11 — printed complete total vote 149,266 (all 1655 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1938-09-28 p11 'Complete Election Returns' — COMPLETE semi-official, all 1655/1655 precincts",,
1938-11-08,General,340739,257597,242948,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 257,597 consistent (>= SOV SF Governor 248,035: Olson 132,346+Merriam 111,046+Haight 3,843). CA SoS Statement of Vote 1938, https://archive.org/details/statementofvote192639cali/page/n849","SF Chronicle (NewsBank image scan via SFPL), 1938-11-09 Governor SF sum=242948, 1055/1055 precincts, complete",,
1939-05-19,Special,340739,173881,173881,,,1938-11-08 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1939-05-20 p1 — printed total vote 173,881 (complete, all 1055 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1939-05-20 p1 — COMPLETE, all 1055/1055 precincts",,
1939-11-07,Municipal,340739,285745,285745,,,1938-11-08 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1939-11-08 p1 'In the City' — 'The total vote of 285,745 was the largest in the city's history'","SF Chronicle (NewsBank image scan via SFPL), 1939-11-08 p1 ELECTION EXTRA 'Here's How San Francisco Balloted' — complete semi-official, all 1084/1084 precincts election night",,
1940-05-07,Special,383845,155367,155367,,,1940-11-05 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle 1940-05-08 complete semi-official returns, two-party ballots sum (news-derived final)","SF Chronicle via NewsBank page image (SFPL ezproxy), 1940-05-08 p8 'The Vote in S.F. / FDR Has a Margin Here' + p1-jump (operator-attended read 2026-07-08): 'Semi-official complete returns of San Fran",,
1940-11-05,General,383845,315518,300729,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 315,518 consistent (>= SOV SF President 311,878: Roosevelt 185,607+Willkie 122,449+Browder 1,935+Thomas 1,513). CA SoS Statement of Vote 1940, https://archive.org/details/stateofcaliforn19","SF Chronicle (NewsBank image scan via SFPL), 1940-11-06 President SF sum=300729, 1103/1103 precincts, complete",,
1941-11-04,Municipal,383845,210351,210351,,,1940-11-05 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1941-11-05 p1 'S.F. Election Results' box — 'Total vote—210,351' (complete semi-official, 1111/1111 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1941-11-05 p1 FINAL ELECTION EXTRA 'S.F. Election Results' box — complete semi-official, 1111/1111 precincts election night",,
1942-06-09,Special,367352,139184,139184,,,1942-11-03 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1942-06-10 p1 — printed official total vote cast 139,184 (complete, all 1187 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1942-06-10 p1 'Raid Bonds Win' FINAL Morning Edition — COMPLETE OFFICIAL count, all 1187/1187 precincts (Registrar Cameron King)",,
1942-11-03,General,367352,230129,222079,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 230,129 consistent (>= SOV SF Governor 226,560: Warren 120,979+Olson 103,888+Porter 1,178+Dyster 514). CA SoS Statement of Vote 1942, https://archive.org/details/stateofcaliforn194050cali/","SF Chronicle (NewsBank image scan via SFPL), 1942-11-04 Governor SF sum=222079, 1187/1187 precincts, complete",,
1943-04-20,Special,367352,140840,140840,,,1942-11-03 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1943-04-21 p1 — Market St Railway bond total vote 140,840 (all 1187 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1943-04-21 p1 'Street Car Bonds Defeated' FINAL Morning Edition — COMPLETE semi-official, all 1187/1187 precincts",,
1943-11-02,Municipal,367352,217783,217783,,,1942-11-03 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1943-11-03 p1 — complete Mayor count 217,783 across all 1180 precincts used as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1943-11-03 p1 FINAL ELECTION EXTRA 'Final Returns' box — COMPLETE semi-official, all 1180/1180 precincts election night",,
1944-05-16,Primary,405921,188188,1906,,,1944-11-07 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],SF Chronicle 1944-05-18 complete returns,"SF Chronicle ELECTION EXTRA edition via NewsBank page image (SFPL ezproxy), 1944-05-17 p1 'The Latest Returns from S.F.' box [partial or contest-sum floor - a lower bound]",,
1944-11-07,General,405921,352409,,,,SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019),,,
1945-11-06,Municipal,405921,175485,1717,,,1944-11-07 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],SF Chronicle 1945-11-08 complete semi-official returns,"SF Chronicle print edition via NewsBank page image (SFPL ezproxy), 1945-11-07 p1 'Election Returns' box (operator hand-read 2026-07-08): 'Complete semi-official returns from 12 widely scattered precin [partial or contest-sum floor - a lower bound]",,
1946-07-16,Recall,,179415,179415,,,,"SF Chronicle (NewsBank image scan via SFPL), 1946-07-17 p1 — printed total vote 179,415 on the Lapham recall","SF Chronicle (NewsBank image scan via SFPL), 1946-07-17 p1 'Lapham Defeats the Recall' — COMPLETE semi-official, all 1198/1198 precincts",,
1946-11-05,General,430114,270457,235931,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 270,457 consistent","SF Chronicle (NewsBank image scan via SFPL), 1946-11-06 U.S. Senator SF sum=235931, 1185/1197 precincts, partial",,
1947-11-04,Municipal,,282414,282414,,,,"SF Chronicle (NewsBank image scan via SFPL), 1947-11-05 p1 — printed complete total vote 282,414","SF Chronicle (NewsBank image scan via SFPL), 1947-11-05 p1 FINAL Election Extra — COMPLETE semi-official, all precincts election night",,
1948-06-01,Primary,,273248,273248,,,,"CA SoS Statement of Vote (Primary 1948-06-01), SF County certified TOTAL BALLOTS CAST 273,248 (complete all 1201 precincts election night). https://archive.org/details/stateofcaliforn194050cali/page/n","SF Chronicle (NewsBank image scan via SFPL), 1948-06-02 p1 FINAL ELECTION EXTRA — COMPLETE semi-official, all 1201/1201 precincts election night",,
1948-11-02,General,459769,359134,343732,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 359,134 consistent (>= SOV SF President 350,709: Truman 167,726+Dewey 160,135+Wallace 21,492+other 1,356). CA SoS Statement of Vote 1948, https://archive.org/details/stateofcaliforn194050c","SF Chronicle (NewsBank image scan via SFPL), 1948-11-03 President SF sum=343732, 1204/1204 precincts, complete",,
1949-11-08,Municipal,,237929,237929,,,,"SF Chronicle (NewsBank image scan via SFPL), 1949-11-09 p1 — City Attorney complete 237,929 (Holm 130,946 + O'Gara 106,983, human-verified) across all 1211 precincts used as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1949-11-09 p1 FINAL ELECTION EXTRA — COMPLETE semi-official, all 1211/1211 precincts election night",,
1950-06-06,Primary,,268866,268866,,,,"CA SoS Statement of Vote (Primary 1950-06-06), SF County certified TOTAL BALLOTS CAST 268,866 (complete all 1210 precincts election night). https://archive.org/details/stateofcaliforn194050cali/page/n","SF Chronicle (NewsBank image scan via SFPL), 1950-06-07 p1 FINAL ELECTION EXTRA — COMPLETE, all 1210/1210 precincts",,
1950-11-07,General,429864,312137,301098,,,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1950-11-08 Governor SF sum=301098, 1210/1210 precincts, complete",,
1951-11-06,Municipal,,255502,255502,,,,"SF Chronicle (NewsBank image scan via SFPL), 1951-11-07 p1 — complete Mayor count 255,502 across all 1209 precincts used as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1951-11-07 p1 FINAL ELECTION EXTRA 'Tally for Top City Offices' — COMPLETE semi-official, all 1209/1209 precincts election night",,
1952-06-03,Primary,,271829,271829,,,,"CA SoS Statement of Vote (Primary 1952-06-03), SF County certified TOTAL BALLOTS CAST 271,829 (complete all 1304 precincts election night). https://archive.org/details/stateofcaliforn195262cali/page/n","SF Chronicle (NewsBank image scan via SFPL), 1952-06-04 p1 FINAL ELECTION EXTRA — COMPLETE, all 1304/1304 precincts",,
1952-11-04,General,431959,365972,362269,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 365,972 = SOV SF 'total vote cast' line exactly.","SF Chronicle (NewsBank image scan via SFPL), 1952-11-05 President SF sum=362269, 1306/1306 precincts, complete",,
1953-11-03,Municipal,,218961,218961,,,,"SF Chronicle (NewsBank image scan via SFPL), 1953-11-04 p1 'Election Returns' — printed complete total vote of city 218,961 (incl. 2,572 absentees, all 1306 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1953-11-04 p1 FINAL 'Election Returns' box — COMPLETE semi-official, all 1306/1306 precincts election night",,
1954-06-08,Primary,,223434,223434,,,,"CA SoS Statement of Vote (Primary 1954-06-08), SF County certified TOTAL BALLOTS CAST 223,434 (complete all 1304 precincts election night). https://archive.org/details/stateofcaliforn195262cali/page/n","SF Chronicle (NewsBank image scan via SFPL), 1954-06-09 p(B) FINAL Election Extra 'Here's How S.F. Voted' — COMPLETE, all 1304/1304 precincts",,
1954-11-02,General,401900,277602,246129,,,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1954-11-03 U.S. Senator SF sum=246129, 1302/1302 precincts, complete",,
1955-11-08,Municipal,,239241,239241,,,,"SF Chronicle (NewsBank image scan via SFPL), 1955-11-09 p1 — complete Mayor count 239,241 across all 1300 precincts","SF Chronicle (NewsBank image scan via SFPL), 1955-11-09 p1 FINAL ELECTION EXTRA 'Vote for Officials' box — COMPLETE semi-official, all 1300/1300 precincts election night",,
1956-06-05,Primary,,241195,241195,,,,"CA SoS Statement of Vote (Primary 1956-06-05), SF County certified TOTAL BALLOTS CAST 241,195 (complete all 1301 precincts election night). https://archive.org/details/stateofcaliforn195262cali/page/n","SF Chronicle (NewsBank image scan via SFPL), 1956-06-06 p1 FINAL ELECTION EXTRA 'How the Voting Went in S.F.' — COMPLETE, all 1301/1301 precincts",,
1956-11-06,General,397385,342652,320755,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 342,652 = SOV SF 'total vote cast' line exactly (President contest 336,967: Eisenhower 173,648+Stevenson 161,766). CA SoS Statement of Vote 1956, https://archive.org/details/stateofcalifor","SF Chronicle (NewsBank image scan via SFPL), 1956-11-07 President SF sum=320755, 1300/1306 precincts, partial",,
1957-11-05,Municipal,,199431,199431,,,,"SF Chronicle (NewsBank image scan via SFPL), 1957-11-06 p1 — Prop A 199,431 (largest contest, all 1296 precincts) used as citywide turnout floor","SF Chronicle (NewsBank image scan via SFPL), 1957-11-06 p1 FINAL 'Final Tally in City Election' box — COMPLETE semi-official, all 1296/1296 precincts election night",,
1958-06-03,Primary,,263476,263476,,,,"CA SoS Statement of Vote (Primary 1958-06-03), SF County certified TOTAL BALLOTS CAST 263,476 (near-complete 1274/1299 precincts election night). https://archive.org/details/stateofcaliforn195262cali/","SF Chronicle (NewsBank image scan via SFPL), 1958-06-04 p18 'Vote For Governor' county tables — NEAR-COMPLETE 1274/1299 precincts (98.1%)",,
1958-11-04,General,,319179,318839,,,,"CA SoS Statement of Vote (Gen. Election Nov 4 1958), SF County certified TOTAL BALLOTS CAST 319,179 (Governor Brown 219,413+Knowland 90,430+write-ins=309,969)","SF Chronicle (NewsBank image scan via SFPL), 1958-11-05 p1A FINAL — COMPLETE semi-official, all 1300/1300 SF precincts election night",,
1959-11-03,Municipal,,239963,239963,,,,"SF Chronicle (NewsBank image scan via SFPL), 1959-11-04 p1 — complete Mayor count 239,963 across all 1298 precincts","SF Chronicle (NewsBank image scan via SFPL), 1959-11-04 p1 FINAL ELECTION EXTRA 'Complete Vote' box — COMPLETE semi-official, all 1298/1298 precincts election night",,
1960-06-07,Primary,,244368,244368,,,,"CA SoS Statement of Vote (Primary 1960-06-07), SF County certified TOTAL BALLOTS CAST 244,368 (complete all 1290 precincts election night). https://archive.org/details/stateofcaliforn195262cali/page/n","SF Chronicle (NewsBank image scan via SFPL), 1960-06-08 p1 FINAL ELECTION EXTRA 'Crucial Votes' — COMPLETE, all 1290/1290 precincts",,
1960-11-08,General,404613,348290,318462,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 348,290 = SOV SF 'total vote cast' line exactly (President contest 342,219: Kennedy 197,734+Nixon 143,001+Decker 1,360+Hass 124). CA SoS Statement of Vote 1960, https://archive.org/details","SF Chronicle (NewsBank image scan via SFPL), 1960-11-09 p3 'Here Are Election Results--County-by-County' AP table, San Francisco row: 1,282 of 1,286 precincts reporting, Nixon 132,833 + Kennedy 185,62",,
1961-11-07,Municipal,,190484,190484,,,,"SF Chronicle (NewsBank image scan via SFPL), 1961-11-08 p1 'Final S.F. Vote' — City Attorney complete 190,484 (O'Connor 125,869 + Sullivan 64,615, human-verified) used as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1961-11-08 p1 FINAL ELECTION EXTRA 'Final S.F. Vote' — COMPLETE election night",,
1962-06-05,Primary,,171294,171294,,,,"SF Chronicle (NewsBank image scan via SFPL), 1962-06-06 p2 — U.S. Senator two-party sum 171,294 (all 1331 precincts) as citywide turnout floor","SF Chronicle (NewsBank image scan via SFPL), 1962-06-06 p2 'The Vote In S.F.' FINAL ELECTION EXTRA — COMPLETE, all 1331/1331 precincts",,
1962-11-06,General,,287463,287463,,,,"Certified SF county Governor vote 287,463 (Brown 180,298 + Nixon 107,165), per 1962 CA gubernatorial election / CA Secretary of State Statement of Vote","SF Chronicle (NewsBank image scan via SFPL), 1962-11-07 p14 'How S.F. Voted' — COMPLETE semi-official, all 1332/1332 SF precincts election night",,
1963-11-05,Municipal,,240768,240768,,,,"SF Chronicle (NewsBank image scan via SFPL), 1963-11-06 p1 — complete Mayor count 240,768 across all 1339 precincts","SF Chronicle (NewsBank image scan via SFPL), 1963-11-06 p1 ELECTION EXTRA FINAL 'The City Vote' box — COMPLETE semi-official, all 1339/1339 precincts election night",,
1964-06-02,Primary,,216810,216810,,,,"SF Chronicle (NewsBank image scan via SFPL), 1964-06-03 p2 — U.S. Senator two-party sum 216,810 (all 1340 precincts) as citywide turnout floor","SF Chronicle (NewsBank image scan via SFPL), 1964-06-03 p2 'The Vote In S.F.' ELECTION EXTRA FINAL — COMPLETE, all 1340/1340 precincts",,
1964-11-03,General,389990,331612,310193,313134,18478,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 331,612 consistent (>= SOV SF President 323,908: Johnson 230,758+Goldwater 92,994). CA SoS Statement of Vote 1964, https://archive.org/details/castatem196264cali","SF Chronicle (NewsBank image scan via SFPL), 'The Vote Tally' day-after paper, 1341 of 1341 precincts: president sum 310,193 (Johnson 221,343 + Goldwater 88,850)",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1965-11-02,Municipal,,193035,193035,,,,"SF Chronicle (NewsBank image scan via SFPL), 1965-11-03 p9 — Prop A 193,035 (largest contest, all 1342 precincts) used as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1965-11-03 p9 'The Propositions' box — COMPLETE, all 1342/1342 precincts reporting",,
1966-06-07,Primary,355271,226622,146496,,,recovered canvass records (data/sf_archival_canvass_points.csv),"CA SoS Statement of Vote, June 1966 primary: SF total vote cast 226,622 (see data/sov_crosscheck_ledger.md)","SF Chronicle page scan (NewsBank/SFPL), 1966-06-08 p1B 'San Francisco Vote Tally (1342 of 1344 precincts)' box, FINAL edition: city Prop A (employee retirement benefits) Yes 58,194 + No 88,302 = 146,4 [partial or contest-sum floor - a lower bound]",,
1966-11-08,General,372123,286049,267247,,,recovered canvass records (data/sf_archival_canvass_points.csv),"CA SoS Statement of Vote, Nov 1966 general: SF total vote 286,049 (see data/sov_crosscheck_ledger.md)","SF Chronicle page scan (NewsBank/SFPL), 1966-11-09 ELECTION EXTRA p4 (PAGE C) 'S.F. Vote",,
1967-11-07,Municipal,,249831,242170,,,,"Certified Mayor-race total 249,831 per SF Examiner 1967-12-12 p16 'Final Returns'","SF Chronicle page scan (NewsBank/SFPL), 1967-11-08 p1/p1A 'San Francisco Vote Tally (1341 of 1341 Precincts)': Mayor 18-candidate sum 242,170",,
1968-06-04,Primary,348111,254825,112468,,,recovered canvass records (data/sf_archival_canvass_points.csv),"CA SoS Statement of Vote, June 1968 primary: SF total vote cast 254,825","SF Chronicle page scan (NewsBank/SFPL), 1968-06-05 p1 'S.F. Voters Rescue Market St.': city Prop A (Market St bonds) Yes 77,906 + No 34,562 = 112,468 [partial or contest-sum floor - a lower bound]",,
1968-11-05,General,374335,307012,255938,287514,19498,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 'The Vote Tally' day-after paper, 1140 of 1282 precincts (press-deadline snapshot): president sum 255,938 [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1969-11-04,Municipal,324138,199200,182237,,,recovered canvass records (data/sf_archival_canvass_points.csv),"Official canvass 199,200 votes cast of 324,138 registered per SF Examiner 1969-11-19 p68 'Official City Vote Count'","SF Chronicle page scan (NewsBank/SFPL), 1969-11-05 p1B 'San Francisco Vote Tally', 1200/1204 precincts semi-official: Prop B (Hunters Point school bonds) Yes 95,252 + No 86,985 = 182,237, the largest",,
1970-06-02,Primary,337127,214943,108659,,,recovered canvass records (data/sf_archival_canvass_points.csv),"CA SoS Statement of Vote, June 1970 primary: SF total vote cast 214,943 (see data/sov_crosscheck_ledger.md)","SF Chronicle page scan (NewsBank/SFPL), 1970-06-03 p1B 'San Francisco Vote Tally' box, 603/1208 precincts semi-official: printed 'Total voters reported: 108,659' [partial or contest-sum floor - a lower bound]",,
1970-11-03,General,372032,262398,245497,,,recovered canvass records (data/sf_archival_canvass_points.csv),"CA SoS Statement of Vote, Nov 1970 general: SF Total Ballots Cast 262,398 (see data/sov_crosscheck_ledger.md)","SF Chronicle page scan (NewsBank/SFPL), 1970-11-04 p1A 'San Francisco Vote Tally' box, 1331/1350 precincts semiofficial: Governor sum 245,497",,
1971-11-02,Municipal,340404,258227,258164,,,recovered canvass records (data/sf_archival_canvass_points.csv),"Official canvass per SF Chronicle 1971-11-23 p4: 258,227 voters, 75.8 percent of registered (registration 340,404 printed 1971-11-03 p1B)","SF Chronicle page scan (NewsBank/SFPL), 1971-11-23 p4 'Official Tally",,
1972-06-06,Primary,368357,234840,,218176,16664,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Dept. of Elections historical turnout table (1899–2019): certified 234,840",,SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1972-11-07,General,426338,316803,292341,289010,27793,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), day-after Vote Tally, 1300 of 1351 precincts: president sum 292,341 (McGovern 163,333 + Nixon 122,937 + Schmitz 3,579 + Spock 2,492)",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1973-11-06,Municipal,337065,202237,117066,190080,12157,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1973-11-07 'SF Vote Tally', COMPLETE 1,000/1,000 precincts: supervisors race, Feinstein 117,066 [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1974-06-04,Primary,350380,198508,89229,184369,14139,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1974-06-05 'SF Vote Tally', PARTIAL 815 of 1,356 precincts: Prop A (Elective BART Board) 55,698 yes / 33,531 no = 89,229 - mid-night partial floor [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1974-11-05,General,369005,228586,169752,213114,15472,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Dept. of Elections historical turnout table (1899–2019): certified 228,586","SF Chronicle page scan (NewsBank/SFPL), 1974-11-06 p5 (main-section front '1D') 'SAN FRANCISCO -- How the City Voted' box, 775/1359 precincts semi-official: Governor sum 169,752 [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1975-11-04,Municipal,296505,215559,209980,206167,9392,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), day-after front-page scoreboard, 'Percent Precincts Reported: 99.19%' of 942: mayor contest sum 209,980",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1975-12-11,Runoff,302344,200804,198741,190741,10063,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), Friday 1975-12-12 front page (masthead-verified), 'Moscone Elected in Runoff",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1976-06-08,Primary,311254,208884,156214,191684,17200,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Dept. of Elections historical turnout table (1899–2019): certified 208,884","SF Chronicle page scan (NewsBank/SFPL), 1976-06-09 p1-A 'San Francisco Vote Tally' box: state Prop 15 (nuclear power) sum 156,214 (Yes 78,324 + No 77,890) [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1976-11-02,General,345954,252932,149461,231144,21788,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1976-11-03 p3 'S.F. Results' box, MID-NIGHT PARTIAL 545 of 935 precincts: Carter 77,452 + Ford 63,186 + others 8,823 = 149,461 [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1977-08-02,Special,336046,178367,174308,161622,16745,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Dept. of Elections historical turnout table (1899–2019): certified 178,367","SF Chronicle print edition via NewsBank page image (SFPL ezproxy), 1977-08-03 FRONT PAGE (operator-directed backward walk, read live 2026-07-08): 'With all 735 precincts reporting, this was the outcom [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1977-11-08,Municipal,339306,175582,173555,162209,13373,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), day-after 'Low Turnout' article (Jerry Burns): 'The final, unofficial results showed that just 51.2 percent of the city's 339,306 registered voters went to",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1978-06-06,Primary,350856,203931,95129,185959,17972,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1978-06-07 'S.F. VOTE', PARTIAL 81.3% of 912 precincts: Democratic governor primary sum 95,129 (Brown 80,761 + others) [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1978-11-07,General,380749,238667,223147,197263,20702,recovered canvass records (data/sf_archival_canvass_points.csv),"CA SoS Statement of Vote (Gen. Election Nov 7 1978), SF County certified TOTAL BALLOTS CAST 238,667","SF Chronicle (NewsBank image scan via SFPL), 'S.F. VOTE' day-after paper 1978-11-08 (tbl_19781107_issue19781108_p6): governor sum 223,147 [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1979-11-06,Municipal,372061,204869,192462,190396,14473,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1979-11-07/08 'COMPLETE S.F. VOTE' box, 100% precincts: mayor sum 192,462",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1980-06-03,Primary,403382,206366,131324,191196,15170,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Dept. of Elections historical turnout table (1899–2019): certified 206,366","SF Chronicle page scan (NewsBank/SFPL), 1980-06-04 p2 'S.F. VOTE' box, 70% precincts reporting: state Prop 9 SF sum 131,324 (Yes 37,691 + No 93,633) [partial or contest-sum floor - a lower bound]",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1980-08-19,Special,404035,140551,140514,119566,20985,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Dept. of Elections historical turnout table (1899–2019): certified 140,551","SF Chronicle page scan (NewsBank/SFPL), 1980-08-20 p1 'Light S.F. Turnout At Polls' (Marshall Kilduff), 100 percent of ballots tallied: printed 'only 140,514 voters went to the polls'",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
1980-11-04,General,407982,268070,249291,237013,31057,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1980-11-05 'S.F. VOTE' box, 100% precincts: presidential sum 249,291",SF Dept. of Elections historical turnout table (1899-2019),SF Dept. of Elections historical turnout table (1899-2019)
